,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiocarbon Date Upload Template - Mandatory Fields in Green. See Sheet 2 for instructions on using this template.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Identifying Fields ,,,,,Locational Data,,,,,Provenance,,,,,,Age,,,,,,Provenience,,,,,,Additional Information,,
Lab Number,Field Number,Material Dated,Taxa Dated,Type of Date,Locality,Latitude,Longitude,Map Sheet,Elevation     (m ASL),Submitter,Date Submitted,Collector,Date Collected,Updater,Date Updated,Measured Age,MA Sigma,Normalized Age,NA Sigma,Delta 13C (per mil),Delta 13 C Source,Significance,Site Identifier,Site Name,Stratigraphic Component,Context,Associated Taxa,Additional Information,Comments,References
UB-9020,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2397,33,-31.4,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
UB-9021,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2444,21,-30.6,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
UB-9022,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2383,21,-32.9,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33288,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2495,35,-31.09,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33289,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2530,35,-30.15,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35173,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2550,40,-30.7,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33291,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2645,35,-31.35,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
Poz-5390,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,254,40,-29.5,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33292,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2625,35,-29.75,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35175,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2580,40,-31.42,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33293,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2685,35,-31.78,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35176,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2705,40,-32.51,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33296,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2705,35,-33.12,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33297,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2740,35,-32.03,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33298,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2685,35,-31.92,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33299,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2745,35,-32.26,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35177,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2660,40,-32.96,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33301,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2860,35,-31.6,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35178,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2890,40,-32.38,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33302,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2960,35,-31.8,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35180,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2970,40,-33.49,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33303,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2955,35,-31.35,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35182,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,2935,40,-32.01,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33305,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3100,35,-31.84,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33307,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3015,35,-31.87,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-38867,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3075,30,-31.88,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
Poz-4564,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3050,35,-34.4,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
Poz-4943,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3110,35,-27.8,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33308,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3135,35,-31,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-32073,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3295,35,-31.02,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35183,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3720,40,-30.14,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-38877,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3840,35,-30.48,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-39344,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,08/09/2015,,,3805,35,-28.5,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35185,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,3800,40,-30.7,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33580,,Charcoal,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,3930,50,-15.51,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35186,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,3945,40,-31.21,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35187,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4150,45,-31.25,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33582,,Charcoal,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,3985,35,-16.52,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35189,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4140,40,-30.09,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35190,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4225,40,-30.12,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33583,,Charcoal,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4155,45,-16.67,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35191,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4325,40,-30.69,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-32075,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4480,45,-31.71,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35213,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4415,40,-30.4,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33585,,Charcoal,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4230,40,-16.04,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35214,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4390,40,-31.75,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35215,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4605,45,-30.97,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-33586,,Charcoal,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4490,60,-16,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35218,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4565,40,-31.65,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35218,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4565,40,-31.65,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-32698,,Charcoal,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4255,35,-26.52,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
GrA-35219,,Bulk,,Geological,,-3.316667,37.7,,895,,,,,Colin Courtney Mustaphi,03/09/2015,,,4625,40,-31.88,Measured,,Lake Chala (2011),99-1G/03-2K; 05-1G/05-4P,,,,,,"Blaauw, Maarten, Bas van Geel, Iris Kristen, Birgit Plessen, Anna Lyaruu, Daniel R. Engstrom, Johannes van der Plicht, and Dirk Verschuren. ""High-resolution 14 C dating of a 25,000-year lake-sediment record from equatorial East Africa."" Quaternary Science Reviews 30, no. 21 (2011): 3043-3059."
